"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","649","336","313"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","659","434","225"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","609","406","203"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","711","306","405"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","593","280","313"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","811","500","311"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","949","524","425"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","779","215","564"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","672","358","314"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","703","475","228"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","662","345","317"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","759","328","431"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","640","437","203"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","833","517","316"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","707","377","330"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","741","509","232"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","1021","560","461"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","624","301","323"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","830","228","602"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","701","359","342"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","790","343","447"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","649","450","199"
"1","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","5","268","114","154"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","30","876","554","322"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","29","745","400","345"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","659","473","186"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","729","371","358"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","30","828","354","474"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","28","775","543","232"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","30","1107","611","496"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","895","240","655"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","644","316","328"
